"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","1uF","Capacitor_SMD:C_0805_2012Metric","~","1","","",""
"C2,C3,C4","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","3","","",""
"C5","10uF","Capacitor_SMD:C_0805_2012Metric","~","1","","",""
"C6,C7","22pF","Capacitor_SMD:C_0805_2012Metric","~","2","","",""
"C8,C9","100nF","Capacitor_SMD:C_0805_2012Metric","~","2","","",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12","SOD-123","Diode_SMD:D_SOD-123","~","12","","",""
"F1","500mA","Fuse:Fuse_1206_3216Metric","~","1","","",""
"H1,H2,H3,H4","MountingHole","MountingHole:MountingHole_3mm_Pad","~","4","","Excluded from BOM",""
"H5,H6","MountingHole","MountingHole:MountingHole_2.5mm_Pad","~","2","","Excluded from BOM",""
"J1","OLED_128x64","ScottoKeebs_Components:OLED_128x64","","1","","",""
"R1,R4,R7","10k","Resistor_SMD:R_0805_2012Metric","~","3","","",""
"R2,R3","22","Resistor_SMD:R_0805_2012Metric","~","2","","",""
"R5,R6","27k","Resistor_SMD:R_0805_2012Metric","~","2","","",""
"S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12","Keyswitch","ScottoKeebs_MX:MX_PCB_1.00u","~","12","","",""
"S13","PEC16-4220F-S0024:PEC16-4xxxx-Sxxxx","PEC16-4220F-S0024:PEC16-4xxxx-Sxxxx","","1","","",""
"SW1","SW_Push","random-keyboard-parts:SKQG-1155865","~","1","","",""
"U1","ATmega32U4-A","Package_QFP:TQFP-44_10x10mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf","1","","",""
"USB1","Molex-0548190589","random-keyboard-parts:Molex-0548190589","","1","","",""
"Y1","16MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~","1","","",""
